GL Account,Group
621001000,600-Tax direct
621011000,600-Tax direct
629301000,601-deferred Tax
629401000,601-deferred Tax
629501000,601-deferred Tax
629501300,601-deferred Tax
629511000,601-deferred Tax
629514050,601-deferred Tax
629521000,601-deferred Tax
629524200,601-deferred Tax
629601000,601-deferred Tax
629601300,601-deferred Tax
101400,others
141400,others
162500,others
141420,others
63280,others
153254,721-Accruals/Audit
111270,810-SAP Re-Allocation
1410100000,810-SAP Re-Allocation
153060,911-HR-Accrual-YE
153100,911-HR-Accrual-YE
151240,929-HR Others
151540,929-HR Others
151550,929-HR Others
153252,929-HR Others
153256,929-HR Others
153270,929-HR Others
12001,others
12009,others
14001,others
14009,others
16001,others
16009,others
17001,others
18011,others
18019,others
21011,others
21019,others
21021,others
22001,others
22009,others
24031,others
24039,others
24041,others
24049,others
24051,others
24059,others
25001,others
15021,others
31001,others
101050,209-AR-Others
111202,209-AR-Others
111470,209-AR-Others
102400,others
102420,others
141000,others
141100,others
111580,259-AP-Others
141301,259-AP-Others
141302,259-AP-Others
151174,259-AP-Others
161020,others
162020,others
162120,others
135020,others
604021000,751-Prov./HR Ext. Expertise
604031000,751-Prov./HR Ext. Expertise
605001000,751-Prov./HR Ext. Expertise
605011000,751-Prov./HR Ext. Expertise
605021000,751-Prov./HR Ext. Expertise
605024300,751-Prov./HR Ext. Expertise
167600,others
605025100,751-Prov./HR Ext. Expertise
605025150,751-Prov./HR Ext. Expertise
605025250,751-Prov./HR Ext. Expertise
605031000,751-Prov./HR Ext. Expertise
605501000,751-Prov./HR Ext. Expertise
605521000,751-Prov./HR Ext. Expertise
605524300,751-Prov./HR Ext. Expertise
605525200,751-Prov./HR Ext. Expertise
605525250,751-Prov./HR Ext. Expertise
605525500,751-Prov./HR Ext. Expertise
167150,others
167153,others
166200,others
166209,others
41000,400-Equity/General
43000,others
44040,400-Equity/General
44060,400-Equity/General
56200,others
56250,400-Equity/General
56260,others
56280,others
0BSRESULT,others
399991,others
399992,others
399993,others
211000,501-CA/Assets
250000,others
221240,599-CA/General
108000,600-Tax direct
151502,600-Tax direct
621001000,600-Tax direct
621004050,600-Tax direct
621004300,600-Tax direct
621011000,600-Tax direct
62600,600-Tax direct
629301000,601-deferred Tax
629301300,601-deferred Tax
629304200,601-deferred Tax
629321000,601-deferred Tax
629324200,601-deferred Tax
629401000,601-deferred Tax
629401300,601-deferred Tax
151040,620-Tax indirect
101410,others
141410,others
161510,others
162510,others
63040,others
63070,others
63280,others
81020,others
81060,others
81066,others
81150,others
81170,others
151180,721-Accruals/Audit
153254,721-Accruals/Audit
631501000,750-Prov./General
631504050,750-Prov./General
631504300,750-Prov./General
631701000,750-Prov./General
631704300,750-Prov./General
656001000,750-Prov./General
1410900000,others
111270,810-SAP Re-Allocation
1410100000,810-SAP Re-Allocation
1620900000,810-SAP Re-Allocation
104001000,820-Re-Classifications
151143,900-Insurances
153050,910-HR-Accrual-ST
153060,911-HR-Accrual-YE
151122,920-HR-Bonus
151129,920-HR-Bonus
111205,929-HR Others
151090,929-HR Others
151178,929-HR Others
151240,929-HR Others
151504,929-HR Others
151505,929-HR Others
153080,929-HR Others
153252,929-HR Others
153255,929-HR Others
153256,929-HR Others
153259,929-HR Others
153260,929-HR Others
153270,929-HR Others
21011,others
21019,others
21021,others
21031,others
21039,others
22001,others
22009,others
22021,others
22029,others
24001,others
24009,others
24031,others
24039,others
24041,others
24049,others
24051,others
24059,others
24201,others
24209,others
25001,others
1526100000,others
1530001000,others
1530004300,others
1530005100,others
1530005150,others
301120,150-Inventory
101000,others
101100,others
151580,others
111202,209-AR-Others
111470,209-AR-Others
102400,others
102410,others
102420,others
141000,others
141100,others
141301,259-AP-Others
141302,259-AP-Others
161020,others
162020,others
162120,others
161060,others
